  Time[s]              u[ft/s]            v[ft/s]                w[ft/s]              p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                e0                   ex                   ey                   ez                  gamma[deg]
  6.200000000000e+00   2.166630737963e+02   4.681152894444e-08   1.091041092894e-02  -6.636723986038e-10  -1.662545246047e-07  -1.346980274943e-10   6.827327100627e-02  -3.792521970706e-08  -6.131052033112e+03   7.071069097204e-01  -5.069677208126e-10   7.071066526527e-01   2.574195643239e-10   8.999709271494e+01
  6.300000000000e+00   2.165562567561e+02   4.802312275602e-08   1.090609730013e-02  -6.862027644755e-10  -1.706208771028e-07  -1.374208422777e-10   6.937215344894e-02  -4.097357899910e-08  -6.152713013198e+03   7.071069156754e-01  -5.356405051365e-10   7.071066466976e-01   2.764722962603e-10   8.999709144830e+01
  6.400000000000e+00   2.164478141124e+02   4.923544757004e-08   1.090171283417e-02  -7.086971637737e-10  -1.750178532225e-07  -1.402838259078e-10   7.047096638166e-02  -4.419435738802e-08  -6.174363230276e+03   7.071069217854e-01  -5.652079328574e-10   7.071066405876e-01   2.962222232829e-10   8.999709014188e+01
  6.500000000000e+00   2.163377486179e+02   5.045059430074e-08   1.089725810722e-02  -7.311620191185e-10  -1.794463661808e-07  -1.432929807286e-10   7.156971183135e-02  -4.759321288287e-08  -6.196002521924e+03   7.071069280514e-01  -5.956739017531e-10   7.071066343216e-01   3.166631110168e-10   8.999708880062e+01
  6.600000000000e+00   2.162260630304e+02   5.167069026130e-08   1.089273367495e-02  -7.536070797572e-10  -1.839073783860e-07  -1.464528714552e-10   7.266839192691e-02  -5.117589207950e-08  -6.217630725995e+03   7.071069344746e-01  -6.270427831114e-10   7.071066278985e-01   3.377888251042e-10   8.999708744183e+01
  6.700000000000e+00   2.161127601121e+02   5.289786660869e-08   1.088814007283e-02  -7.760451060702e-10  -1.884018944833e-07  -1.497666551452e-10   7.376700889874e-02  -5.494823711339e-08  -6.239247680618e+03   7.071069410561e-01  -6.593194834899e-10   7.071066213170e-01   3.595934936931e-10   8.999708605378e+01
  6.800000000000e+00   2.159978426302e+02   5.413422756078e-08   1.088347781662e-02  -7.984915277383e-10  -1.929309548352e-07  -1.532361328481e-10   7.486556507830e-02  -5.891619269643e-08  -6.260853224198e+03   7.071069477970e-01  -6.925094962845e-10   7.071066145760e-01   3.820716568377e-10   8.999708462639e+01
  6.900000000000e+00   2.158813133563e+02   5.538182178938e-08   1.087874740296e-02  -8.209640821717e-10  -1.974956294328e-07  -1.568618209870e-10   7.596406289789e-02  -6.308581315969e-08  -6.282447195417e+03   7.071069546987e-01  -7.266189430249e-10   7.071066076743e-01   4.052184012645e-10   8.999708317608e+01
  7.000000000000e+00   2.157631750669e+02   5.664261633568e-08   1.087394931007e-02  -8.434824397964e-10  -2.020970122559e-07  -1.606430403006e-10   7.706250489051e-02  -6.746326942937e-08  -6.304029433234e+03   7.071069617625e-01  -7.616546044758e-10   7.071066006105e-01   4.290294792626e-10   8.999708168053e+01
  7.100000000000e+00   2.156434305427e+02   5.791847333562e-08   1.086908399851e-02  -8.660678226742e-10  -2.067362160646e-07  -1.645780199866e-10   7.816089368980e-02  -7.205485586909e-08  -6.325599776888e+03   7.071069689896e-01  -7.976239417738e-10   7.071065933834e-01   4.535014107680e-10   8.999708017951e+01
  7.200000000000e+00   2.155220825691e+02   5.921112978092e-08   1.086415191205e-02  -8.887426227113e-10  -2.114143676321e-07  -1.686640145578e-10   7.925923203010e-02  -7.686699692835e-08  -6.347158065893e+03   7.071069763814e-01  -8.345351079695e-10   7.071065859916e-01   4.786315680251e-10   8.999707863958e+01
  7.300000000000e+00   2.153991339360e+02   6.052218048015e-08   1.085915347856e-02  -9.115300253990e-10  -2.161326034038e-07  -1.728974308382e-10   8.035752274672e-02  -8.190625354461e-08  -6.368704140045e+03   7.071069839393e-01  -8.723969504705e-10   7.071065784337e-01   5.044182425127e-10   8.999707705346e+01
  7.400000000000e+00   2.152745874375e+02   6.185306432256e-08   1.085408911100e-02  -9.344536446360e-10  -2.208920655731e-07  -1.772739624927e-10   8.145576877614e-02  -8.717932925395e-08  -6.390237839417e+03   7.071069916648e-01  -9.112190049927e-10   7.071065707083e-01   5.308606941159e-10   8.999707544614e+01
  7.500000000000e+00   2.151484458721e+02   6.320505388753e-08   1.084895920840e-02  -9.575371737109e-10  -2.256938985684e-07  -1.817887294946e-10   8.255397315646e-02  -9.269307597379e-08  -6.411759004362e+03   7.071069995592e-01  -9.510114817228e-10   7.071065628138e-01   5.579591828075e-10   8.999707380968e+01
  7.600000000000e+00   2.150207120428e+02   6.457924838542e-08   1.084376415691e-02  -9.808040570022e-10  -2.305392459328e-07  -1.864364199915e-10   8.365213902787e-02  -9.845449942907e-08  -6.433267475515e+03   7.071070076243e-01  -9.917852444766e-10   7.071065547488e-01   5.857149833630e-10   8.999707212721e+01
  7.700000000000e+00   2.148913887566e+02   6.597656986129e-08   1.083850433082e-02  -1.004277186376e-09  -2.354292475826e-07  -1.912114321257e-10   8.475026963318e-02  -1.044707642020e-07  -6.454763093788e+03   7.071070158614e-01  -1.033551783697e-09   7.071065465117e-01   6.141303838722e-10   8.999707042107e+01
