  Time[s]              u[ft/s]             v[ft/s]               w[ft/s]               p[rad/s]             q[rad/s]             r[rad/s]             x[ft]                y[ft]                z[ft]                phi[rad]             theta[rad]             psi[rad]
  3.750000000000e-01   1.994640177580e+02   8.720866288862e-01   2.142006189622e+00   1.043089324376e+02  -2.321242280859e-01  -1.356635208400e-01   7.658873285280e+01  -1.091872066890e-02  -9.478725731699e+00   3.736446058436e+01   3.714567861143e-02  -8.030672148104e-03
  3.800000000000e-01   1.993365915393e+02   1.852840826772e+00   1.312839085604e+00   1.042415150100e+02  -2.692576983399e-01  -1.964410647611e-03   7.758540671854e+01  -1.129790827110e-02  -9.506691107709e+00   3.788582719030e+01   3.582673517417e-02  -8.289353155816e-03
  3.850000000000e-01   1.992111718271e+02   2.231341073166e+00   1.059191623115e-01   1.041743705142e+02  -2.346521174769e-01   1.325299851907e-01   7.858146914556e+01  -1.168187365929e-02  -9.533832240288e+00   3.840685767670e+01   3.450616794278e-02  -8.547912517509e-03
  3.900000000000e-01   1.990861552297e+02   1.908165043357e+00  -1.099305280476e+00   1.041075718040e+02  -1.375205372408e-01   2.318228930811e-01   7.957692630203e+01  -1.207051407695e-02  -9.560149704982e+00   3.892755367265e+01   3.318479919063e-02  -8.805972509215e-03
  3.950000000000e-01   1.989598823660e+02   9.994395286855e-01  -1.932910317432e+00   1.040410163350e+02  -3.860575625771e-03   2.693950206675e-01   8.057177526591e+01  -1.246364844428e-02  -9.585643763169e+00   3.944791671871e+01   3.186343979216e-02  -9.063150416009e-03
  4.000000000000e-01   1.988324934430e+02  -2.028500860469e-01  -2.145976725384e+00   1.039745469426e+02   1.305834673118e-01   2.353289506355e-01   8.156600892722e+01  -1.286105491220e-02  -9.610314552460e+00   3.996794762885e+01   3.054288807277e-02  -9.319060071306e-03
  4.050000000000e-01   1.987056820656e+02  -1.322544415069e+00  -1.683506777347e+00   1.039081279207e+02   2.299680128920e-01   1.389236702775e-01   8.255962532616e+01  -1.326255507428e-02  -9.634162389118e+00   4.048764668233e+01   2.922392905763e-02  -9.573312134168e-03
  4.100000000000e-01   1.985807092445e+02  -2.014596215929e+00  -6.977447633442e-01   1.038418762672e+02   2.679801057860e-01   6.111760284031e-03   8.355263073817e+01  -1.366804760748e-02  -9.657187840582e+00   4.100701439020e+01   2.790733270483e-02  -9.825514646343e-03
  4.150000000000e-01   1.984569690560e+02  -2.069094431370e+00   5.009986701719e-01   1.037759182991e+02   2.348437680085e-01  -1.275906797847e-01   8.454503323931e+01  -1.407745117972e-02  -9.679391514763e+00   4.152605194458e+01   2.659385316592e-02  -1.007527426121e-02
  4.200000000000e-01   1.983327077451e+02  -1.473155125483e+00   1.540295932180e+00   1.037102392027e+02   1.398288369132e-01  -2.266638882880e-01   8.553683430868e+01  -1.449062155658e-02  -9.700773828529e+00   4.204476084779e+01   2.528422799694e-02  -1.032219652937e-02
  4.250000000000e-01   1.982070384246e+02  -4.128393723730e-01   2.098992755179e+00   1.036446966111e+02   8.622635917723e-03  -2.650891560569e-01   8.652802806086e+01  -1.490733899680e-02  -9.721335012283e+00   4.256314216236e+01   2.397917656161e-02  -1.056588699778e-02
  4.300000000000e-01   1.980809503028e+02   7.846811652480e-01   2.003982227844e+00   1.035791803860e+02  -1.236806605991e-01  -2.332191855064e-01   8.751860889279e+01  -1.532738379393e-02  -9.741075321270e+00   4.308119624666e+01   2.267939952251e-02  -1.080595241675e-02
  4.350000000000e-01   1.979561757636e+02   1.750767318549e+00   1.281703216423e+00   1.035137353216e+02  -2.220423115609e-01  -1.401917408454e-01   8.850857877485e+01  -1.575061573861e-02  -9.759995201389e+00   4.359892327808e+01   2.138557792347e-02  -1.104200083048e-02
  4.400000000000e-01   1.978332034043e+02   2.186652389803e+00   1.494993936349e-01   1.034485067427e+02  -2.608219763403e-01  -1.128693826651e-02   8.949794585593e+01  -1.617696414869e-02  -9.778095232303e+00   4.411632396532e+01   2.009837190846e-02  -1.127364260632e-02
  4.450000000000e-01   1.977106863401e+02   1.953275821087e+00  -1.050038656065e+00   1.033835698544e+02  -2.304945938680e-01   1.190001809981e-01   9.048671589384e+01  -1.660633558146e-02  -9.795375931566e+00   4.463339963313e+01   1.881842057669e-02  -1.150049135761e-02
  4.500000000000e-01   1.975869323175e+02   1.113136165202e+00  -1.951830286407e+00   1.033188358953e+02  -1.399755366442e-01   2.162574175041e-01   9.147488617881e+01  -1.703854261565e-02  -9.811837647876e+00   4.515015157028e+01   1.754634097666e-02  -1.172216426041e-02
  4.550000000000e-01   1.974618234747e+02  -8.792034694441e-02  -2.277516651773e+00   1.032541435346e+02  -1.399362867933e-02   2.553011059812e-01   9.246244893382e+01  -1.747333802201e-02  -9.827480651415e+00   4.566658037049e+01   1.628272698918e-02  -1.193828353761e-02
  4.600000000000e-01   1.973370071250e+02  -1.293299379736e+00  -1.918839247441e+00   1.031894363634e+02   1.137115238398e-01   2.267263489930e-01   9.344940058907e+01  -1.791052246629e-02  -9.842305303959e+00   4.618268602108e+01   1.502814933178e-02  -1.214847717345e-02
  4.650000000000e-01   1.972140996269e+02  -2.141035288226e+00  -9.707178996154e-01   1.031248280833e+02   2.094839405709e-01   1.391520010872e-01   9.443574661548e+01  -1.835000643697e-02  -9.856312117783e+00   4.669846866694e+01   1.378315456439e-02  -1.235237896224e-02
  4.700000000000e-01   1.970928599008e+02  -2.370876008478e+00   2.955228218164e-01   1.030604781106e+02   2.486707638260e-01   1.663305079414e-02   9.542149630755e+01  -1.879175131151e-02  -9.869501651760e+00   4.721392921140e+01   1.254826443987e-02  -1.254962983779e-02
  4.750000000000e-01   1.969713714347e+02  -1.901724444340e+00   1.510781288278e+00   1.029964102656e+02   2.219914815005e-01  -1.079830900387e-01   9.640665298526e+01  -1.923564872334e-02  -9.881874373591e+00   4.772906906897e+01   1.132397617729e-02  -1.273987839931e-02
  4.800000000000e-01   1.968480999498e+02  -8.569067345617e-01   2.315634092112e+00   1.029324749512e+02   1.377082137243e-01  -2.019110367788e-01   9.739121038100e+01  -1.968147120341e-02  -9.893430639080e+00   4.824388930866e+01   1.011076129423e-02  -1.292278133397e-02
  4.850000000000e-01   1.967236167980e+02   4.700256575073e-01   2.465357959235e+00   1.028685028852e+02   1.910085765420e-02  -2.410945843913e-01   9.837515950157e+01  -2.012895534515e-02  -9.904170795068e+00   4.875839011653e+01   8.909065080140e-03  -1.309800510877e-02
  4.900000000000e-01   1.966000785225e+02   1.699026578287e+00   1.902088082306e+00   1.028044885977e+02  -1.019876337263e-01  -2.163862249405e-01   9.935849884644e+01  -2.057793471914e-02  -9.914095280709e+00   4.927257119226e+01   7.719307039421e-03  -1.326522613107e-02
